gender,age,education,field,risk_pref
Male,33,Masters,Teaching,Moderate
Male,27,Masters,Finance,Aggressive
Female,27,Bachelors,Finance,Moderate
Male,27,Bachelors,Finance,Moderate
Female,22,Bachelors,Medical,Aggressive
Male,22,Masters,IT,Aggressive
Female,29,Masters,IT,Aggressive
Male,30,Masters,Medical,Aggressive
Male,27,Bachelors,Medical,Moderate
Male,27,Masters,Finance,Aggressive
Male,27,Bachelors,Teaching,Moderate
Male,30,Masters,Others,Moderate
Male,23,Masters,Teaching,Aggressive
Female,30,Bachelors,Others,Moderate
Female,26,Bachelors,Finance,Moderate
Male,30,Bachelors,Teaching,Moderate
Female,22,Masters,Finance,Aggressive
Female,34,Bachelors,Medical,Moderate
Female,26,Bachelors,IT,Moderate
Female,30,Masters,Others,Moderate
Male,34,Bachelors,Teaching,Moderate
Male,25,Bachelors,Teaching,Aggressive
Female,34,Bachelors,Finance,Moderate
Male,24,Masters,Finance,Aggressive
Male,28,Masters,IT,Aggressive
Female,38,Bachelors,Teaching,Moderate
Female,26,Bachelors,Teaching,Moderate
Male,24,Bachelors,Finance,Aggressive
Male,26,Masters,Teaching,Moderate
Male,27,Bachelors,Medical,Moderate
Male,24,Masters,IT,Aggressive
Female,25,Masters,Finance,Aggressive
Male,28,Bachelors,Teaching,Moderate
Male,33,Masters,Teaching,Moderate
Female,25,Masters,Medical,Aggressive
Male,36,Masters,Others,Moderate
Male,22,Masters,IT,Aggressive
Male,30,Bachelors,Others,Moderate
Male,25,Masters,IT,Aggressive
Male,29,Masters,Teaching,Moderate
Male,30,Masters,Teaching,Moderate
Male,25,Masters,Others,Aggressive
Male,29,Bachelors,Others,Moderate
Male,30,Bachelors,Finance,Moderate
Male,32,Masters,Others,Moderate
Female,22,Bachelors,Others,Aggressive
Male,28,Masters,Teaching,Moderate
Male,28,Masters,Others,Moderate
Female,31,Masters,Medical,Aggressive
Male,25,Bachelors,IT,Aggressive
Male,30,Bachelors,Teaching,Moderate
Female,26,Masters,Medical,Aggressive
Male,32,Bachelors,Finance,Moderate
Female,37,Masters,Medical,Aggressive
Female,26,Masters,Others,Moderate
Female,30,Bachelors,Medical,Moderate
Female,28,Masters,Teaching,Moderate
Male,30,Masters,Teaching,Moderate
Male,23,Masters,Finance,Aggressive
Male,35,Bachelors,Others,Moderate
Female,28,Masters,Medical,Aggressive
Female,27,Masters,Finance,Aggressive
Female,33,Masters,Teaching,Moderate
Female,19,Masters,Medical,Aggressive
Female,32,Masters,Others,Moderate
Male,31,Bachelors,IT,Moderate
Female,30,Masters,Others,Moderate
Male,21,Masters,Teaching,Aggressive
Female,36,Masters,Medical,Aggressive
Male,29,Masters,IT,Aggressive
Male,29,Bachelors,Medical,Moderate
Male,31,Bachelors,Teaching,Moderate
Female,25,Bachelors,Teaching,Aggressive
Male,31,Bachelors,Teaching,Moderate
Male,28,Bachelors,Finance,Moderate
Female,23,Bachelors,Others,Aggressive
Female,29,Bachelors,IT,Moderate
Female,29,Bachelors,Others,Moderate
Female,21,Bachelors,IT,Aggressive
Male,33,Bachelors,Teaching,Moderate
Female,24,Masters,IT,Aggressive
Female,21,Masters,Finance,Aggressive
Male,29,Masters,Medical,Aggressive
Male,32,Bachelors,Finance,Moderate
Male,27,Bachelors,Teaching,Moderate
Female,33,Bachelors,Teaching,Moderate
Female,32,Masters,Medical,Aggressive
Male,31,Masters,Others,Moderate
Female,26,Bachelors,IT,Moderate
Male,30,Masters,Medical,Aggressive
Male,30,Masters,Teaching,Moderate
Female,31,Masters,Others,Moderate
Male,28,Masters,Teaching,Moderate
Female,19,Bachelors,Others,Aggressive
Male,31,Masters,IT,Aggressive
Male,30,Masters,Medical,Aggressive
Female,25,Bachelors,Medical,Aggressive
Male,23,Masters,Medical,Aggressive
Male,28,Masters,IT,Aggressive
Male,35,Bachelors,Others,Moderate
Male,29,Masters,IT,Aggressive
Male,25,Masters,IT,Aggressive
Male,26,Bachelors,Medical,Moderate
Female,27,Bachelors,Medical,Moderate
Female,34,Masters,IT,Aggressive
Female,28,Masters,Finance,Aggressive
Male,26,Bachelors,Others,Moderate
Male,30,Masters,Teaching,Moderate
Male,30,Bachelors,Finance,Moderate
Female,22,Masters,Medical,Aggressive
Male,30,Masters,Teaching,Moderate
Male,28,Bachelors,Finance,Moderate
Female,27,Masters,IT,Aggressive
Female,24,Bachelors,Others,Aggressive
Female,24,Masters,IT,Aggressive
Male,33,Masters,Medical,Aggressive
Male,30,Bachelors,IT,Moderate
Male,32,Masters,Teaching,Moderate
Female,30,Masters,Others,Moderate
Male,28,Bachelors,IT,Moderate
Female,35,Bachelors,Medical,Moderate
Male,27,Bachelors,Teaching,Moderate
Female,26,Masters,Teaching,Moderate
Female,35,Bachelors,Teaching,Moderate
Female,30,Bachelors,Medical,Moderate
Female,26,Masters,Others,Moderate
Female,29,Masters,Medical,Aggressive
Male,25,Bachelors,IT,Aggressive
Female,35,Bachelors,Teaching,Moderate
Female,25,Masters,Medical,Aggressive
Male,26,Masters,Others,Moderate
Male,28,Masters,Finance,Aggressive
Female,24,Bachelors,Teaching,Aggressive
Male,23,Masters,IT,Aggressive
Female,24,Bachelors,IT,Aggressive
Female,26,Bachelors,IT,Moderate
Female,34,Masters,IT,Aggressive
Male,24,Masters,Finance,Aggressive
Male,30,Bachelors,IT,Moderate
Male,34,Masters,Others,Moderate
Female,25,Bachelors,Finance,Aggressive
Male,29,Bachelors,IT,Moderate
Male,32,Masters,Others,Moderate
Male,27,Masters,Others,Moderate
Male,25,Bachelors,Teaching,Aggressive
Male,32,Bachelors,Medical,Moderate
Male,28,Bachelors,Teaching,Moderate
Female,32,Bachelors,IT,Moderate
Male,28,Masters,Teaching,Moderate
Male,30,Masters,Others,Moderate
Male,23,Bachelors,Others,Aggressive
Female,31,Bachelors,Finance,Moderate
Female,27,Bachelors,Teaching,Moderate
Male,25,Masters,IT,Aggressive
Male,32,Masters,Finance,Aggressive
Male,30,Bachelors,Teaching,Moderate
Male,28,Bachelors,Others,Moderate
Male,30,Bachelors,Teaching,Moderate
Female,35,Bachelors,IT,Moderate
Female,36,Bachelors,Medical,Moderate
Male,32,Bachelors,Finance,Moderate
Female,29,Bachelors,IT,Moderate
Male,24,Masters,Medical,Aggressive
Male,30,Bachelors,IT,Moderate
Female,32,Masters,IT,Aggressive
Male,30,Masters,Others,Moderate
Female,25,Bachelors,Others,Aggressive
Male,29,Bachelors,Teaching,Moderate
Female,35,Bachelors,Finance,Moderate
Female,23,Bachelors,Finance,Aggressive
Female,37,Masters,Medical,Aggressive
Male,28,Bachelors,Others,Moderate
Female,26,Masters,Finance,Aggressive
Male,29,Masters,Medical,Aggressive
Female,34,Masters,Teaching,Moderate
Male,38,Bachelors,Finance,Moderate
Male,28,Masters,Finance,Aggressive
Male,26,Bachelors,Teaching,Moderate
Male,29,Bachelors,Others,Moderate
Male,31,Bachelors,IT,Moderate
Male,28,Masters,IT,Aggressive
Male,23,Masters,IT,Aggressive
Male,28,Bachelors,IT,Moderate
Male,26,Bachelors,Medical,Moderate
Female,34,Masters,Others,Moderate
Male,23,Masters,Medical,Aggressive
Male,30,Masters,Others,Moderate
Male,23,Bachelors,Teaching,Aggressive
Male,32,Masters,Medical,Aggressive
Male,24,Masters,Medical,Aggressive
Male,26,Bachelors,IT,Moderate
Female,28,Bachelors,Medical,Moderate
Male,28,Masters,Finance,Aggressive
Female,28,Masters,Others,Moderate
Male,29,Bachelors,Others,Moderate
Male,25,Masters,Medical,Aggressive
Male,29,Bachelors,Medical,Moderate
Female,23,Masters,Teaching,Aggressive
Male,26,Masters,Others,Moderate
Male,27,Bachelors,Teaching,Moderate
Male,32,Masters,IT,Aggressive
Male,25,Bachelors,Others,Aggressive
Male,19,Masters,Finance,Aggressive
Male,25,Masters,Medical,Aggressive
Female,31,Masters,Teaching,Moderate
Male,28,Bachelors,Others,Moderate
Male,28,Masters,Others,Moderate
Male,19,Masters,Medical,Aggressive
Female,28,Masters,Medical,Aggressive
Male,30,Masters,Teaching,Moderate
Female,25,Bachelors,IT,Aggressive
Male,28,Bachelors,IT,Moderate
Male,26,Masters,Finance,Aggressive
Female,25,Bachelors,Medical,Aggressive
Female,24,Bachelors,Finance,Aggressive
Female,36,Bachelors,Medical,Moderate
Male,27,Bachelors,Teaching,Moderate
Male,22,Bachelors,Finance,Aggressive
Male,20,Masters,Medical,Aggressive
Male,29,Masters,Finance,Aggressive
Male,29,Bachelors,Others,Moderate
Male,23,Masters,Others,Aggressive
Male,31,Bachelors,Finance,Moderate
Female,33,Bachelors,Medical,Moderate
Male,29,Bachelors,IT,Moderate
Male,29,Masters,Finance,Aggressive
Male,27,Bachelors,Medical,Moderate
Female,25,Masters,Teaching,Aggressive
Male,32,Bachelors,Teaching,Moderate
Male,22,Masters,IT,Aggressive
Male,27,Bachelors,Finance,Moderate
Female,29,Masters,Finance,Aggressive
Male,34,Masters,Finance,Aggressive
Female,36,Masters,Finance,Moderate
Male,29,Masters,Others,Moderate
Female,23,Masters,Finance,Aggressive
Male,27,Bachelors,IT,Moderate
Male,32,Masters,Others,Moderate
Male,23,Bachelors,Teaching,Aggressive
Male,32,Masters,Teaching,Moderate
Male,29,Bachelors,Teaching,Moderate
Male,29,Masters,Others,Moderate
Male,25,Bachelors,Medical,Aggressive
Male,31,Bachelors,IT,Moderate
Female,29,Bachelors,Teaching,Moderate
Male,28,Masters,Medical,Aggressive
Male,26,Masters,IT,Aggressive
Male,29,Masters,Others,Moderate
Male,27,Masters,Others,Moderate
Female,25,Bachelors,Others,Aggressive
Male,27,Bachelors,Teaching,Moderate
Male,28,Bachelors,Teaching,Moderate
Male,32,Masters,Others,Moderate
Male,22,Bachelors,IT,Aggressive
Female,34,Bachelors,Finance,Moderate
Female,23,Masters,Medical,Aggressive
Male,25,Masters,Finance,Aggressive
Female,25,Masters,IT,Aggressive
Male,27,Bachelors,Others,Moderate
Female,25,Bachelors,Finance,Aggressive
Female,29,Masters,IT,Aggressive
Female,30,Masters,Teaching,Moderate
Male,28,Masters,Finance,Aggressive
Male,27,Bachelors,Finance,Moderate
Male,36,Masters,Medical,Aggressive
Male,30,Bachelors,Others,Moderate
Male,31,Masters,Finance,Aggressive
Female,30,Bachelors,IT,Moderate
Male,30,Masters,Teaching,Moderate
Female,25,Masters,Teaching,Aggressive
Male,23,Bachelors,Others,Aggressive
Female,24,Bachelors,Finance,Aggressive
Female,25,Bachelors,Others,Aggressive
Male,28,Bachelors,IT,Moderate
Male,28,Bachelors,Others,Moderate
Female,37,Bachelors,Finance,Moderate
Male,24,Masters,Teaching,Aggressive
Male,27,Bachelors,Medical,Moderate
Female,28,Masters,Others,Moderate
Male,26,Masters,IT,Aggressive
Male,26,Bachelors,IT,Moderate
Female,26,Bachelors,IT,Moderate
Male,28,Bachelors,Medical,Moderate
Male,24,Masters,Medical,Aggressive
Female,24,Masters,Finance,Aggressive
Female,32,Masters,Finance,Aggressive
Male,28,Masters,Finance,Aggressive
Female,21,Bachelors,Others,Aggressive
Female,25,Masters,Others,Aggressive
Female,26,Masters,Finance,Aggressive
Female,24,Bachelors,IT,Aggressive
Female,27,Masters,Medical,Aggressive
Female,22,Bachelors,Teaching,Aggressive
Male,29,Bachelors,IT,Moderate
Male,27,Bachelors,IT,Moderate
Male,18,Masters,Medical,Aggressive
Female,24,Bachelors,Teaching,Aggressive
Male,32,Bachelors,Teaching,Moderate
Male,22,Masters,Medical,Aggressive
Female,23,Masters,Medical,Aggressive
Female,29,Bachelors,Medical,Moderate
Female,33,Masters,Finance,Aggressive
Male,24,Bachelors,IT,Aggressive
Male,26,Bachelors,Finance,Moderate
Male,25,Bachelors,Others,Aggressive
Female,24,Masters,Finance,Aggressive
Female,31,Masters,Finance,Aggressive
Male,28,Masters,Medical,Aggressive
Female,30,Masters,Finance,Aggressive
Male,27,Masters,Teaching,Moderate
Male,32,Bachelors,IT,Moderate
Female,31,Masters,Medical,Aggressive
Male,31,Bachelors,Medical,Moderate
Female,29,Masters,IT,Aggressive
Male,27,Bachelors,IT,Moderate
Male,33,Masters,Teaching,Moderate
Male,26,Masters,Medical,Aggressive
Female,33,Masters,Others,Moderate
Female,32,Masters,Teaching,Moderate
Male,25,Bachelors,IT,Aggressive
Female,32,Masters,Others,Moderate
Female,27,Bachelors,IT,Moderate
Male,28,Masters,Finance,Aggressive
Female,32,Bachelors,Medical,Moderate
Male,30,Masters,Finance,Aggressive
Male,28,Bachelors,Medical,Moderate
Female,27,Bachelors,Medical,Moderate
Female,21,Bachelors,Teaching,Aggressive
Male,27,Bachelors,Teaching,Moderate
Male,31,Masters,IT,Aggressive
Male,31,Bachelors,Medical,Moderate
Female,35,Masters,Medical,Aggressive
Male,25,Masters,IT,Aggressive
Male,27,Masters,Medical,Aggressive
Female,21,Bachelors,Teaching,Aggressive
Male,32,Bachelors,Teaching,Moderate
Female,27,Masters,Others,Moderate
Male,30,Bachelors,Teaching,Moderate
Female,26,Masters,Finance,Aggressive
Female,31,Masters,Medical,Aggressive
Female,27,Masters,IT,Aggressive
Male,27,Bachelors,Finance,Moderate
Male,28,Bachelors,IT,Moderate
Female,33,Masters,IT,Aggressive
Female,34,Bachelors,Finance,Moderate
Male,30,Masters,IT,Aggressive
Male,30,Bachelors,Medical,Moderate
Male,27,Bachelors,Medical,Moderate
Male,30,Bachelors,Teaching,Moderate
Female,32,Masters,Others,Moderate
Male,29,Bachelors,Medical,Moderate
Male,29,Bachelors,Finance,Moderate
Male,32,Bachelors,Others,Moderate
Female,21,Masters,Others,Aggressive
Male,31,Bachelors,Others,Moderate
Male,29,Masters,Others,Moderate
Male,30,Masters,Medical,Aggressive
Male,28,Bachelors,Finance,Moderate
Male,30,Masters,Teaching,Moderate
Female,28,Bachelors,IT,Moderate
Female,35,Bachelors,Medical,Moderate
Female,26,Bachelors,Medical,Moderate
Male,20,Bachelors,Teaching,Aggressive
Male,24,Bachelors,IT,Aggressive
Male,28,Bachelors,Finance,Moderate
Male,27,Masters,Finance,Aggressive
Female,26,Masters,Medical,Aggressive
Male,33,Bachelors,IT,Moderate
Female,33,Masters,Medical,Aggressive
Male,23,Masters,Teaching,Aggressive
Male,27,Masters,Others,Moderate
Male,22,Bachelors,Medical,Aggressive
Male,28,Bachelors,Medical,Moderate
Male,26,Masters,Finance,Aggressive
Male,25,Bachelors,Medical,Aggressive
Male,30,Masters,Finance,Aggressive
Male,28,Masters,Finance,Aggressive
Male,28,Masters,Teaching,Moderate
Male,27,Bachelors,Medical,Moderate
Female,33,Masters,Teaching,Moderate
Male,25,Masters,IT,Aggressive
Male,32,Masters,Teaching,Moderate
Male,31,Bachelors,IT,Moderate
Male,27,Masters,Others,Moderate
Female,19,Masters,Finance,Aggressive
Male,32,Masters,Finance,Aggressive
Male,28,Bachelors,Medical,Moderate
Female,26,Masters,Medical,Aggressive
Male,27,Bachelors,Medical,Moderate
Male,29,Bachelors,Others,Moderate
Female,26,Bachelors,Medical,Moderate
Female,29,Bachelors,Others,Moderate
Male,20,Masters,Teaching,Aggressive
Male,32,Bachelors,IT,Moderate
Female,35,Bachelors,IT,Moderate
Male,33,Bachelors,Medical,Moderate
Female,31,Masters,Finance,Aggressive
Male,29,Bachelors,Medical,Moderate
Female,30,Masters,Finance,Aggressive
Male,25,Masters,Medical,Aggressive
Female,35,Bachelors,Medical,Moderate
Male,26,Masters,Finance,Aggressive
Male,27,Bachelors,IT,Moderate
Female,26,Masters,Teaching,Moderate
Male,29,Masters,Medical,Aggressive
Male,30,Bachelors,Teaching,Moderate
Male,32,Masters,Medical,Aggressive
Male,33,Bachelors,Others,Moderate
Male,38,Masters,Finance,Moderate
Male,28,Masters,Teaching,Moderate
Male,27,Bachelors,Finance,Moderate
Male,28,Bachelors,Finance,Moderate
Male,32,Masters,Teaching,Moderate
Male,25,Bachelors,Teaching,Aggressive
Male,31,Masters,Others,Moderate
Female,31,Bachelors,Finance,Moderate
Male,28,Bachelors,Medical,Moderate
Male,29,Bachelors,IT,Moderate
Female,31,Bachelors,IT,Moderate
Male,29,Bachelors,Others,Moderate
Male,29,Bachelors,Others,Moderate
Female,24,Masters,Finance,Aggressive
Male,29,Masters,IT,Aggressive
Female,27,Bachelors,IT,Moderate
Male,28,Masters,IT,Aggressive
Female,32,Bachelors,IT,Moderate
Female,27,Masters,IT,Aggressive
Male,26,Bachelors,Others,Moderate
Female,25,Bachelors,IT,Aggressive
Female,25,Bachelors,Medical,Aggressive
Female,22,Bachelors,IT,Aggressive
Male,29,Masters,Finance,Aggressive
Male,33,Bachelors,Others,Moderate
Male,29,Bachelors,Finance,Moderate
Male,26,Bachelors,Others,Moderate
Male,27,Masters,IT,Aggressive
Male,32,Bachelors,IT,Moderate
Female,26,Masters,Medical,Aggressive
Male,29,Bachelors,IT,Moderate
Female,25,Masters,Others,Aggressive
Male,26,Masters,Others,Moderate
Male,26,Bachelors,Others,Moderate
Male,24,Bachelors,Others,Aggressive
Female,23,Masters,IT,Aggressive
Male,28,Masters,Others,Moderate
Male,32,Bachelors,Others,Moderate
Female,28,Bachelors,Teaching,Moderate
Male,31,Masters,Others,Moderate
Male,31,Masters,IT,Aggressive
Male,29,Bachelors,IT,Moderate
Male,24,Bachelors,IT,Aggressive
Male,30,Masters,Others,Moderate
Male,28,Masters,Finance,Aggressive
Female,29,Bachelors,Teaching,Moderate
Male,25,Masters,IT,Aggressive
Female,26,Masters,Others,Moderate
Male,24,Bachelors,Medical,Aggressive
Male,30,Masters,Finance,Aggressive
Male,32,Bachelors,Others,Moderate
Female,38,Bachelors,Finance,Moderate
Male,24,Bachelors,Finance,Aggressive
Male,31,Masters,IT,Aggressive
Male,34,Masters,Teaching,Moderate
Male,28,Bachelors,Others,Moderate
Female,31,Bachelors,Finance,Moderate
Male,26,Bachelors,Teaching,Moderate
Female,25,Masters,Finance,Aggressive
Female,20,Bachelors,Teaching,Aggressive
Male,27,Bachelors,IT,Moderate
Male,38,Masters,Others,Moderate
Male,28,Masters,Finance,Aggressive
Female,20,Masters,Medical,Aggressive
Female,24,Bachelors,Others,Aggressive
Male,30,Bachelors,Others,Moderate
Male,31,Bachelors,Finance,Moderate
Male,24,Bachelors,Medical,Aggressive
Male,29,Bachelors,Finance,Moderate
Male,24,Masters,Others,Aggressive
Female,36,Masters,Finance,Moderate
Female,21,Masters,Medical,Aggressive
Female,25,Masters,IT,Aggressive
Female,27,Bachelors,Medical,Moderate
Female,28,Bachelors,Teaching,Moderate
Male,20,Bachelors,Medical,Aggressive
Male,31,Bachelors,Medical,Moderate
Female,23,Masters,Others,Aggressive
Male,25,Masters,IT,Aggressive
Male,30,Masters,Others,Moderate
Male,33,Masters,Medical,Aggressive
Male,24,Bachelors,Medical,Aggressive
Male,33,Bachelors,Teaching,Moderate
Female,34,Masters,Medical,Aggressive
Male,31,Masters,Teaching,Moderate
Male,28,Bachelors,Medical,Moderate
Male,29,Bachelors,Others,Moderate
Female,19,Bachelors,IT,Aggressive
Male,29,Masters,Finance,Aggressive
Male,23,Bachelors,Others,Aggressive
Male,28,Bachelors,Others,Moderate
Male,20,Masters,Finance,Aggressive
Male,32,Masters,Others,Moderate
Female,33,Masters,IT,Aggressive
Male,32,Bachelors,Teaching,Moderate
Female,19,Bachelors,Teaching,Aggressive
Male,32,Bachelors,IT,Moderate
Female,28,Bachelors,Teaching,Moderate
Male,24,Masters,Teaching,Aggressive
Male,28,Bachelors,Others,Moderate
Female,26,Masters,Finance,Aggressive
Female,28,Masters,IT,Aggressive
Male,31,Bachelors,Others,Moderate
Male,27,Bachelors,IT,Moderate
Male,29,Bachelors,Finance,Moderate
Female,36,Bachelors,Others,Moderate
Male,29,Bachelors,Finance,Moderate
Male,31,Masters,Finance,Aggressive
Male,27,Bachelors,Finance,Moderate
Male,29,Masters,Teaching,Moderate
Male,25,Bachelors,Medical,Aggressive
Male,29,Bachelors,Teaching,Moderate
Female,26,Masters,Others,Moderate
Female,26,Masters,Others,Moderate
Male,27,Bachelors,Teaching,Moderate
Female,37,Masters,Teaching,Moderate
Male,32,Masters,Medical,Aggressive
Male,30,Bachelors,IT,Moderate
Male,24,Masters,Medical,Aggressive
Female,35,Bachelors,IT,Moderate
Male,26,Masters,Others,Moderate
Male,32,Masters,Medical,Aggressive
Female,28,Bachelors,Teaching,Moderate
Male,24,Bachelors,IT,Aggressive
Male,23,Bachelors,Medical,Aggressive
Male,24,Masters,Teaching,Aggressive
Male,26,Bachelors,Finance,Moderate
Male,23,Bachelors,Medical,Aggressive
Male,30,Masters,IT,Aggressive
Male,22,Masters,Teaching,Aggressive
Male,29,Bachelors,Others,Moderate
Male,31,Masters,IT,Aggressive
Female,33,Masters,IT,Aggressive
Male,23,Bachelors,Medical,Aggressive
Male,33,Masters,IT,Aggressive
Male,34,Bachelors,Medical,Moderate
Male,30,Masters,IT,Aggressive
Male,29,Masters,Finance,Aggressive
Male,28,Masters,Medical,Aggressive
Female,26,Bachelors,IT,Moderate
Male,37,Masters,Others,Moderate
Male,27,Masters,Finance,Aggressive
Male,23,Masters,Teaching,Aggressive
Female,19,Bachelors,IT,Aggressive
Male,34,Masters,IT,Aggressive
Male,26,Masters,Medical,Aggressive
Female,21,Bachelors,Teaching,Aggressive
Male,24,Bachelors,Medical,Aggressive
Female,22,Masters,Finance,Aggressive
Male,27,Masters,IT,Aggressive
Female,26,Bachelors,Teaching,Moderate
Female,28,Masters,Others,Moderate
Female,20,Masters,Finance,Aggressive
Male,30,Masters,Finance,Aggressive
Female,31,Bachelors,Medical,Moderate
Female,24,Bachelors,Teaching,Aggressive
Male,24,Masters,IT,Aggressive
Female,32,Bachelors,Finance,Moderate
Male,28,Bachelors,Others,Moderate
Female,29,Bachelors,Teaching,Moderate
Female,35,Masters,IT,Aggressive
Male,28,Bachelors,Others,Moderate
Female,35,Masters,Others,Moderate
Female,24,Masters,Others,Aggressive
Female,23,Masters,Others,Aggressive
Male,29,Bachelors,Finance,Moderate
Female,23,Bachelors,Finance,Aggressive
Male,24,Bachelors,IT,Aggressive
Male,28,Bachelors,Medical,Moderate
Male,24,Bachelors,Finance,Aggressive
Female,34,Bachelors,IT,Moderate
Male,29,Bachelors,IT,Moderate
Female,27,Masters,IT,Aggressive
Male,32,Masters,Finance,Aggressive
Female,29,Masters,Medical,Aggressive
Female,25,Masters,IT,Aggressive
Male,30,Bachelors,Teaching,Moderate
Female,26,Bachelors,Teaching,Moderate
Male,24,Bachelors,IT,Aggressive
Male,28,Masters,IT,Aggressive
Male,30,Bachelors,IT,Moderate
Male,32,Bachelors,Finance,Moderate
Male,29,Masters,Others,Moderate
Male,30,Bachelors,Finance,Moderate
Male,34,Masters,Medical,Aggressive
Male,28,Masters,Medical,Aggressive
Female,26,Bachelors,Finance,Moderate
Male,32,Bachelors,Finance,Moderate
Female,25,Bachelors,Teaching,Aggressive
Male,35,Masters,Teaching,Moderate
Female,33,Masters,Teaching,Moderate
Female,22,Masters,Medical,Aggressive
Male,19,Bachelors,IT,Aggressive
Female,35,Bachelors,Others,Moderate
Male,31,Bachelors,Others,Moderate
Female,34,Masters,IT,Aggressive
Male,28,Bachelors,Medical,Moderate
Male,31,Masters,Teaching,Moderate
Male,30,Masters,Finance,Aggressive
Male,19,Bachelors,Teaching,Aggressive
Male,32,Masters,Teaching,Moderate
Female,33,Bachelors,Finance,Moderate
Male,28,Masters,IT,Aggressive
Male,29,Bachelors,Teaching,Moderate
Male,28,Masters,Medical,Aggressive
Female,34,Masters,Finance,Aggressive
Female,26,Bachelors,Teaching,Moderate
Female,31,Masters,Teaching,Moderate
Female,32,Bachelors,IT,Moderate
Female,27,Masters,Medical,Aggressive
Male,26,Bachelors,Teaching,Moderate
Female,26,Bachelors,Medical,Moderate
Male,27,Bachelors,Others,Moderate
Male,29,Bachelors,Finance,Moderate
Female,25,Bachelors,Teaching,Aggressive
Female,21,Bachelors,Medical,Aggressive
Female,33,Bachelors,Teaching,Moderate
Male,29,Masters,Others,Moderate
Male,28,Bachelors,Others,Moderate
Male,24,Bachelors,Others,Aggressive
Male,26,Masters,Teaching,Moderate
Male,25,Masters,Teaching,Aggressive
Male,25,Bachelors,Others,Aggressive
Female,35,Bachelors,Finance,Moderate
Female,23,Bachelors,IT,Aggressive
Male,24,Bachelors,Medical,Aggressive
Male,26,Masters,IT,Aggressive
Male,22,Bachelors,Teaching,Aggressive
Male,25,Bachelors,Medical,Aggressive
Male,23,Bachelors,Others,Aggressive
Female,22,Masters,Teaching,Aggressive
Female,31,Bachelors,Teaching,Moderate
Female,31,Bachelors,Teaching,Moderate
Female,25,Masters,Medical,Aggressive
Male,29,Bachelors,Others,Moderate
Male,20,Masters,Finance,Aggressive
Male,31,Bachelors,Medical,Moderate
Female,28,Masters,Teaching,Moderate
Male,30,Masters,Teaching,Moderate
Female,30,Masters,Finance,Aggressive
Male,27,Masters,Others,Moderate
Male,23,Bachelors,Others,Aggressive
Female,26,Bachelors,Finance,Moderate
Male,27,Masters,Finance,Aggressive
Female,25,Masters,Others,Aggressive
Female,25,Masters,Medical,Aggressive
Female,23,Masters,Medical,Aggressive
Female,32,Masters,Medical,Aggressive
Male,28,Masters,IT,Aggressive
Male,30,Masters,Others,Moderate
Male,24,Masters,IT,Aggressive
Female,32,Masters,Finance,Aggressive
Male,29,Masters,Teaching,Moderate
Male,21,Bachelors,Finance,Aggressive
Male,25,Masters,IT,Aggressive
